Date,Open,High,Low,Adj Close,Volume
1/2/02,0.39375,0.416071,0.392143,0.356271,529496800
1/3/02,0.410714,0.424107,0.406607,0.360552,612007200
1/4/02,0.416786,0.427679,0.410536,0.362235,409976000
1/7/02,0.423571,0.428571,0.40625,0.350155,444584000
1/8/02,0.40625,0.411607,0.401071,0.345721,450038400
1/9/02,0.407143,0.409464,0.38,0.331042,327835200
1/10/02,0.378929,0.383214,0.361607,0.32462,452737600
1/11/02,0.381964,0.39,0.367857,0.321868,348801600
1/14/02,0.375179,0.382143,0.373214,0.323397,415996000
1/15/02,0.380714,0.388571,0.37875,0.331806,290320800
1/16/02,0.382321,0.382321,0.366071,0.317739,566893600
1/17/02,0.392143,0.406071,0.390536,0.343733,660576000
1/18/02,0.392857,0.403571,0.392143,0.338993,338811200
1/22/02,0.397679,0.399464,0.389643,0.333641,327314400
1/23/02,0.389286,0.411429,0.385536,0.35199,443279200
1/24/02,0.409107,0.419821,0.408929,0.354895,344002400
1/25/02,0.40875,0.418214,0.404643,0.355507,185914400
1/28/02,0.417857,0.420536,0.405714,0.355813,186446400
1/29/02,0.414643,0.420357,0.408036,0.352754,240324000
1/30/02,0.411964,0.431071,0.409643,0.368351,471576000
1/31/02,0.431429,0.441607,0.430536,0.377984,468445600
2/1/02,0.434643,0.445714,0.434643,0.373244,398305600
2/4/02,0.434286,0.455714,0.432143,0.387617,522373600
2/5/02,0.448036,0.463929,0.447857,0.389146,456887200
2/6/02,0.457143,0.463929,0.43125,0.37722,597576000
2/7/02,0.440179,0.451607,0.43,0.371562,347832800
2/8/02,0.435714,0.44,0.417321,0.367433,355331200
2/11/02,0.427321,0.446429,0.423929,0.381959,398602400
2/12/02,0.440357,0.447143,0.436607,0.377831,224280000
2/13/02,0.441607,0.450714,0.440179,0.382418,312872000
2/14/02,0.447321,0.450536,0.435357,0.376149,260170400
2/15/02,0.438036,0.446071,0.425893,0.365446,260187200
2/19/02,0.424286,0.42625,0.401429,0.345874,390258400
2/20/02,0.406607,0.414286,0.399107,0.353672,285443200
2/21/02,0.409286,0.410714,0.383036,0.328749,446751200
2/22/02,0.386786,0.409821,0.383929,0.347708,406476000
2/25/02,0.408036,0.441429,0.399286,0.36407,426848800
2/26/02,0.426964,0.435179,0.415179,0.361929,260131200
2/27/02,0.4275,0.433036,0.373929,0.335782,1030159200
2/28/02,0.395536,0.403393,0.38125,0.331806,456937600
3/1/02,0.391607,0.419643,0.389643,0.358565,348992000
3/4/02,0.415357,0.438929,0.406429,0.371409,348258400
3/5/02,0.43125,0.43625,0.417857,0.359789,274702400
3/6/02,0.419286,0.434643,0.409464,0.368045,226206400
3/7/02,0.429643,0.438036,0.421607,0.372785,258249600
3/8/02,0.441786,0.448036,0.433929,0.377066,269774400
3/11/02,0.439286,0.448929,0.430357,0.383183,262785600
3/12/02,0.437679,0.441786,0.430357,0.377984,254055200
3/13/02,0.435179,0.44375,0.43125,0.374467,200765600
3/14/02,0.433929,0.439286,0.42625,0.37355,217296800
3/15/02,0.436786,0.445714,0.433036,0.381501,240900800
3/18/02,0.445536,0.447321,0.434286,0.37829,304556000
3/19/02,0.440893,0.451786,0.433929,0.379972,242345600
3/20/02,0.440357,0.448929,0.4375,0.381042,294319200
3/21/02,0.426071,0.433929,0.415357,0.371103,616352800
3/22/02,0.4325,0.438571,0.42625,0.368351,202193600
3/25/02,0.429821,0.430179,0.415,0.357036,262830400
3/26/02,0.414286,0.422143,0.410714,0.358718,257840800
3/27/02,0.416964,0.423571,0.415357,0.358871,127702400
3/28/02,0.423214,0.426429,0.418929,0.361929,108455200
4/1/02,0.4175,0.441071,0.415714,0.374009,199046400
4/2/02,0.428571,0.433929,0.42625,0.368045,203795200
4/3/02,0.429464,0.437321,0.421429,0.363152,214530400
4/4/02,0.422679,0.447321,0.422679,0.380736,338497600
4/5/02,0.445536,0.449821,0.430357,0.37829,278348000
4/8/02,0.431429,0.440714,0.424643,0.375537,261514400
4/9/02,0.439107,0.446429,0.42875,0.368504,191531200
4/10/02,0.432321,0.445536,0.42875,0.377066,224980000
4/11/02,0.446964,0.45,0.441964,0.380125,407254400
4/12/02,0.446607,0.449464,0.43875,0.383183,320241600
4/15/02,0.4475,0.449107,0.442857,0.382266,299370400
4/16/02,0.449107,0.464107,0.448571,0.393581,614577600
